iter	RMSE
0	69.80641827
1	67.71600971
2	65.51109205
3	63.43669485
4	61.45691447
5	59.43201272
6	57.61516625
7	55.86325565
8	54.12926059
9	52.55205539
10	50.87724825
11	49.35730973
12	47.7355043
13	46.38954964
14	45.08986861
15	43.77136677
16	42.4501767
17	41.29912659
18	40.0811315
19	38.94145174
20	37.87904199
21	36.7490474
22	35.705559
23	34.71415897
24	33.71288361
25	32.77857155
26	31.88647417
27	31.13572079
28	30.27390891
29	29.40079412
30	28.57986755
31	27.87431601
32	27.14277003
33	26.43165211
34	25.68866916
35	24.95670217
36	24.36318491
37	23.69331043
38	23.10908558
39	22.4846328
40	21.86673972
41	21.25580827
42	20.69864079
43	20.21399587
44	19.72847348
45	19.1820524
46	18.62935948
47	18.22868536
48	17.76514077
49	17.29322581
50	16.86774157
51	16.44431714
52	16.09141463
53	15.76236108
54	15.39077232
55	14.98017592
56	14.66522873
57	14.31567395
58	13.98853614
59	13.67076143
60	13.33421153
61	13.06152434
62	12.81352285
63	12.49409235
64	12.18119295
65	11.91967145
66	11.64896943
67	11.42844553
68	11.22704089
69	10.98928192
70	10.7718565
71	10.56939682
72	10.34905745
73	10.14145302
74	9.95288801
75	9.743004178
76	9.530405233
77	9.356687509
78	9.19483793
79	8.996072027
80	8.833232015
81	8.661782066
82	8.515982043
83	8.35697819
84	8.211825064
85	8.045788339
86	7.911400522
87	7.759594926
88	7.634990834
89	7.517661493
90	7.405149299
91	7.288919071
92	7.146163102
93	7.012949328
94	6.89238736
95	6.786374503
96	6.674200676
97	6.575429746
98	6.47675268
99	6.3724882
100	6.280150583
101	6.191471065
102	6.094380236
103	6.01076686
104	5.919778894
105	5.838755648
106	5.756689932
107	5.692653093
108	5.60271521
109	5.528094655
110	5.468007289
111	5.39085833
112	5.310796741
113	5.234616548
114	5.163531815
115	5.09245946
116	5.038567817
117	4.977920805
118	4.908696402
119	4.836078459
120	4.775658563
121	4.713441538
122	4.665719443
123	4.614312874
124	4.568743706
125	4.515670834
126	4.470386159
127	4.41164173
128	4.356574984
129	4.307328234
130	4.260107907
131	4.20548278
132	4.165560041
133	4.120065433
134	4.06526175
135	4.022827293
136	3.967788299
137	3.931278137
138	3.88483092
139	3.835136079
140	3.812410482
141	3.77372643
142	3.736061747
143	3.692818551
144	3.649124041
145	3.608864531
146	3.575070497
147	3.541330392
148	3.514152022
149	3.473204367
150	3.443482037
151	3.407756328
152	3.381343963
153	3.355746009
154	3.333833009
155	3.30576364
156	3.27832094
157	3.252168776
158	3.22641819
159	3.205704177
160	3.182351024
161	3.154604517
162	3.13552599
163	3.105034938
164	3.073417341
165	3.040987258
166	3.01560331
167	2.992259516
168	2.967313032
169	2.943264707
170	2.914283735
171	2.895751209
172	2.878014258
173	2.859097271
174	2.840470785
175	2.822394514
176	2.80865748
177	2.78118372
178	2.761361682
179	2.744919319
180	2.729998034
181	2.713331566
182	2.697884666
183	2.681011076
184	2.666648555
185	2.651474088
186	2.633777471
187	2.616913515
188	2.603838183
189	2.590065548
190	2.57795867
191	2.565444466
192	2.553898211
193	2.54134623
194	2.528808482
195	2.509459434
196	2.488256181
197	2.474963461
198	2.463702056
199	2.452590086
200	2.441838281
201	2.431289841
202	2.419302832
203	2.404688767
204	2.395879206
205	2.386187035
206	2.375124278
207	2.355780883
208	2.341970277
209	2.329945878
210	2.315959606
211	2.300109423
212	2.285140408
213	2.267089545
214	2.256823513
215	2.247055926
216	2.233207992
217	2.218695712
218	2.208201092
219	2.201464847
220	2.185700511
